vehicle_id,delay_time
flow_CAV_0.0,0.0
flow_CAV_0.6,6.539833667459092
flow_HDV_0.3,19.959156438535707
flow_HDV_0.7,14.869642100487752
flow_CAV_0.12,24.248612586712756
flow_HDV_0.4,38.94396758345726
flow_CAV_0.10,19.392055168084212
flow_HDV_0.8,26.090086072208216
flow_CAV_0.13,27.048506917455153
flow_CAV_0.15,18.445534336025666
flow_CAV_0.17,19.208969146441504
flow_CAV_0.14,7.839760419446431
flow_HDV_0.11,43.23221480975759
flow_CAV_0.21,23.932271507312606
flow_HDV_0.12,48.15170143472289
flow_HDV_0.14,31.974445529112476
flow_CAV_0.25,35.8812229371241
flow_CAV_0.22,47.980637740786364
flow_CAV_0.28,16.73067807718845
flow_CAV_0.29,9.612820592370554
flow_HDV_0.19,18.995727640142675
flow_HDV_0.18,34.88780378867964
flow_CAV_0.36,34.06587357591272
flow_HDV_0.21,43.44513745323616
flow_CAV_0.39,14.779712609257661
flow_HDV_0.20,18.96758268689193
flow_CAV_0.37,27.6025959944519
flow_HDV_0.22,34.45440663113752
flow_CAV_0.38,16.695128468909722
flow_CAV_0.40,13.319304971174606
flow_HDV_0.28,29.34623048184357
flow_HDV_0.32,28.733146634925774
flow_CAV_0.52,25.431775584329582
flow_CAV_0.43,22.32820016927
flow_HDV_0.34,24.23729642989468
flow_HDV_0.33,22.70658007809989
flow_CAV_0.51,24.17174438892208
flow_CAV_0.56,27.13540972362668
flow_CAV_0.57,23.838148283714037
flow_HDV_0.35,28.093220336974575
flow_HDV_0.36,17.539773771199663
flow_HDV_0.39,35.5042805688223
flow_HDV_0.37,21.706073819667665
flow_HDV_0.40,36.37491858911108
flow_CAV_0.60,22.21418296429017
flow_CAV_0.62,15.009249354777515
flow_CAV_0.68,28.15988290052764
flow_HDV_0.43,32.23410033969701
flow_CAV_0.63,30.72802046565518
flow_HDV_0.49,21.570034065428494
flow_HDV_0.46,18.68366441736456
flow_CAV_0.69,42.33369108868706
flow_CAV_0.67,34.154505532527764
flow_HDV_0.48,31.096121329743927
flow_HDV_0.50,36.31188757793828
flow_CAV_0.79,13.823279325817628
flow_HDV_0.47,24.941746346746655
flow_CAV_0.75,25.02512473836657
flow_CAV_0.73,25.77834324673343
flow_HDV_0.52,28.35924211821924
flow_CAV_0.83,9.607267302826301
flow_HDV_0.55,18.648361797014168
flow_CAV_0.88,17.95780435984288
flow_HDV_0.58,38.115389607260255
flow_HDV_0.59,21.65311843946839
flow_CAV_0.95,32.82863272410951
flow_CAV_0.98,21.669387307807092
flow_HDV_0.62,40.233822373595515
flow_HDV_0.61,21.368191290253552
flow_CAV_0.92,39.70169261230234
flow_HDV_0.54,65.5228492895423
flow_HDV_0.68,26.902890542869123
flow_CAV_0.106,17.668938442216515
flow_HDV_0.64,21.588196383336083
flow_HDV_0.66,31.323028474560175
flow_CAV_0.101,23.21126034130937
